year,quarter,no_of_rainy_days
1982,1,26
1982,2,32
1982,3,28
1982,4,44
1983,1,22
1983,2,26
1983,3,46
1983,4,51
1984,1,56
1984,2,43
1984,3,42
1984,4,50
1985,1,31
1985,2,40
1985,3,46
1985,4,64
1986,1,32
1986,2,40
1986,3,45
1986,4,57
1987,1,35
1987,2,41
1987,3,38
1987,4,37
1988,1,39
1988,2,40
1988,3,43
1988,4,51
1989,1,34
1989,2,41
1989,3,44
1989,4,54
1990,1,25
1990,2,30
1990,3,42
1990,4,45
1991,1,30
1991,2,45
1991,3,28
1991,4,43
1992,1,19
1992,2,40
1992,3,43
1992,4,61
1993,1,33
1993,2,47
1993,3,33
1993,4,50
1994,1,41
1994,2,45
1994,3,24
1994,4,50
1995,1,47
1995,2,39
1995,3,41
1995,4,52
1996,1,29
1996,2,45
1996,3,46
1996,4,50
1997,1,21
1997,2,30
1997,3,21
1997,4,44
1998,1,25
1998,2,46
1998,3,53
1998,4,53
1999,1,44
1999,2,40
1999,3,37
1999,4,56
2000,1,47
2000,2,46
2000,3,42
2000,4,53
2001,1,52
2001,2,41
2001,3,36
2001,4,55
2002,1,21
2002,2,38
2002,3,34
2002,4,46
2003,1,44
2003,2,43
2003,3,42
2003,4,57
2004,1,33
2004,2,30
2004,3,42
2004,4,42
2005,1,23
2005,2,45
2005,3,46
2005,4,61
2006,1,37
2006,2,48
2006,3,41
2006,4,48
2007,1,44
2007,2,42
2007,3,52
2007,4,57
2008,1,43
2008,2,36
2008,3,51
2008,4,52
2009,1,32
2009,2,37
2009,3,41
2009,4,56
2010,1,25
2010,2,54
2010,3,47
2010,4,52
2011,1,47
2011,2,42
2011,3,34
2011,4,65
2012,1,48
2012,2,47
2012,3,39
2012,4,57
2013,1,47
2013,2,48
2013,3,49
2013,4,62
2014,1,12
2014,2,46
2014,3,44
2014,4,50
2015,1,17
2015,2,35
2015,3,32
2015,4,41
2016,1,31
2016,2,39
2016,3,50
2016,4,59
2017,1,47
2017,2,46
2017,3,46
2017,4,65
2018,1,40
2018,2,50
2018,3,34
2018,4,64
2019,1,20
2019,2,38
2019,3,18
2019,4,44
2020,1,22
2020,2,49
2020,3,52
2020,4,55
2021,1,33
2021,2,47
2021,3,50
2021,4,52
2022,1,46
2022,2,47
2022,3,31
